,player_name,school,conference,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,2PM,2PA,2P_per,3PM,3PA,3P_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec-rk,ast/tov,rimmade,rimmade + rimmiss,midmade,midmade + midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+mismiss),dunksmade,dunksmiss + dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos
116,Charles Jenkins,Hofstra,CAA,32,92.4,123.2,28.7,57.7,62.93,1.6,8.6,31.3,12.8,179,217,0.8250000000000001,176,317,0.555,63,152,0.41400000000000003,1.8,2.7,46.3,Sr,6-3,22,6.65016,136.761,2.1,2011,57,all,,2.11262838,93.0,139.0,83.0,178.0,0.6691,0.46630000000000005,0.0,0.0,,44.0,107.807,106.346,2.6405000000000003,192.184,7.09443,8.32456,-1.23013,9.82813,37.4062,8.91582,0.912311,0.5,2.7188,3.2188,4.6875,1.6562000000000001,0.625,22.5,Scoring PG
132,Richard Hendrix,Alabama,SEC,32,73.1,117.4,26.2,60.1,59.36,13.1,23.5,11.5,12.3,108,201,0.537,227,376,0.604,2,7,0.28600000000000003,7.2,2.4,52.5,Jr,6-9,,4.7791,130.431,3.8,2008,65,all,98.2,0.92727484,,,,,,,,,,49.0,96.4548,91.9969,3.63708,236.544,9.73288,5.20386,4.52902,8.43097,30.625,6.45684,1.9741300000000002,3.6875,6.4062,10.0938,1.5937999999999999,1.2812000000000001,1.9687999999999999,17.75,
178,Vernon Macklin,Florida,SEC,37,59.7,107.5,24.3,59.3,57.77,10.9,15.0,7.7,17.7,46,102,0.451,191,322,0.593,0,0,0.0,3.1,0.9,31.7,Sr,6-10,32,2.82126,118.954,4.0,2011,91,all,95.0,0.47618489,128.0,168.0,63.0,154.0,0.7619,0.4091,32.0,35.0,0.9143,52.0,97.7281,93.3167,2.78675,155.033,3.88301,2.42605,1.45697,3.6651,24.4595,2.7662,0.898895,2.2162,3.1622,5.3784,0.8108000000000001,0.3514,0.7027,11.5676,C
184,Maarty Leunen,Oregon,P10,32,85.8,135.3,19.0,66.4,69.59,7.9,23.5,15.5,14.1,112,142,0.789,98,161,0.609,59,120,0.492,1.1,1.5,50.5,Sr,6-9,,6.62117,140.36,2.8,2008,94,all,84.6,1.8,,,,,,,,,,54.0,102.866,97.1158,3.52963,222.794,10.6828,8.77993,1.9028800000000001,9.915420000000001,34.7188,8.75717,1.15825,2.1562,7.0,9.1562,2.8125,0.875,0.3438,15.1562,
187,Malik Hairston,Oregon,P10,31,75.4,121.7,23.3,60.3,63.04,5.8,12.6,14.0,14.3,101,138,0.732,124,215,0.577,52,120,0.433,2.9,1.2,41.2,Sr,6-6,,5.33399,134.172,3.7,2008,98,all,98.8,1.19997745,,,,,,,,,,48.0,106.963,100.44,2.84072,164.953,7.26174,6.61217,0.649574,7.38435,31.4839,6.78211,0.602233,1.4516,3.3871,4.8387,2.129,0.6129,0.8387,16.2903,
335,Chris Douglas-Roberts,Memphis,CUSA,40,71.2,118.0,26.2,58.8,61.74,5.0,10.5,12.8,15.5,161,226,0.712,214,370,0.578,45,109,0.41300000000000003,1.6,2.4,47.2,Jr,6-7,,4.67178,132.002,2.4,2008,171,all,88.6,0.85542166,,,,,,,,,,40.0,90.2838,86.2282,4.0076600000000004,213.719,8.36299,5.70858,2.65441,10.4642,28.675,7.21202,3.25218,1.325,2.8,4.125,1.775,1.225,0.45,18.1,
372,Ryan Reid,Florida St.,ACC,31,54.8,97.5,18.3,49.1,51.58,9.9,10.0,10.1,23.2,46,77,0.597,82,167,0.491,0,0,0.0,2.6,1.5,46.1,Sr,6-8,42,1.18608,99.6167,2.6,2010,193,all,82.0,0.68623872,45.0,71.0,37.0,96.0,0.6338,0.3854,5.0,5.0,1.0,57.0,93.5205,88.4882,2.98377,117.284,2.50667,-0.238258,2.74493,2.72072,22.7097,0.514712,2.20601,1.871,2.0968,3.9677,1.129,0.5806,0.5161,6.7742,C
380,Kyle Singler,Duke,ACC,37,86.9,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,125,155,0.806,157,316,0.497,62,193,0.321,0.8,1.5,30.5,Sr,6-8,12,4.68934,123.808,3.0,2011,197,all,99.0,0.8571278,80.0,113.0,77.0,203.0,0.708,0.3793,4.0,4.0,1.0,33.0,94.0388,89.4209,4.52346,235.792,5.95265,4.57615,1.3765,5.3525,34.7568,4.29121,1.06129,2.3784,4.4595,6.8378,1.6216,0.9189,0.32430000000000003,16.8919,Wing F
384,Nolan Smith,Duke,ACC,37,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,187,230,0.8130000000000001,203,405,0.501,57,163,0.35000000000000003,0.2,2.0,40.5,Sr,6-2,2,6.14746,136.992,2.3,2011,198,all,95.8,1.6016869599999999,121.0,180.0,82.0,225.0,0.6722,0.3644,19.0,21.0,0.9048,21.0,94.9421,90.2798,4.32707,221.453,7.92525,6.5307,1.39455,9.04699,34.027,7.42587,1.62112,1.1892,3.2973,4.4865,5.1081,1.2162,0.0811,20.648600000000002,Scoring PG
390,E'Twaun Moore,Purdue,B10,34,84.4,112.1,26.8,51.8,54.55,5.1,12.5,20.9,11.9,100,141,0.709,151,319,0.47300000000000003,70,175,0.4,1.6,2.2,28.5,Sr,6-4,33,5.07602,128.26,2.5,2011,201,all,95.0,1.77052561,44.0,77.0,107.0,242.0,0.5714,0.44210000000000005,4.0,4.0,1.0,55.0,93.8872,88.3413,4.51998,210.854,9.05063,6.40941,2.64122,9.36297,33.8824,6.94046,2.42252,1.5,3.6471,5.1471,3.1765,1.2059,0.5294,18.0,Combo G
396,JaJuan Johnson,Purdue,B10,34,88.1,113.9,27.3,50.9,56.36,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,Sr,6-10,25,5.65182,131.13,1.8,2011,203,all,91.6,0.58927814,49.0,74.0,193.0,395.0,0.6622,0.48860000000000003,23.0,26.0,0.8846,27.0,89.3372,84.06,5.24379,262.089,7.16089,3.02668,4.13421,9.51149,35.3824,6.66198,2.84951,2.4118,6.1471,8.5588,0.9706,0.8824000000000001,2.3235,20.5294,PF/C
419,Jordan Hill,Arizona,P10,34,86.3,108.9,28.0,53.7,56.04,15.4,22.2,9.6,17.5,117,179,0.654,252,469,0.537,0,0,0.0,5.6,1.5,38.2,Jr,6-10,,5.25931,126.906,3.4,2009,215,all,83.0,0.51547548,,,,,,,,,,8.0,101.241,94.4767,3.9211300000000002,251.586,5.5629,3.55648,2.00643,4.31088,35.6765,4.45542,-0.144542,4.2059,6.8235,11.0294,1.4706000000000001,0.8824000000000001,1.7059000000000002,18.2647,
422,Chase Budinger,Arizona,P10,35,93.7,117.5,23.9,55.4,59.42,4.9,14.8,19.0,16.6,125,156,0.801,152,288,0.528,67,168,0.399,1.4,2.3,34.2,Jr,6-7,,6.01009,130.461,2.0,2009,217,all,99.0,1.3882072,,,,,,,,,,44.0,105.009,98.1723,3.65529,237.463,7.82959,6.90449,0.925103,8.42143,37.6286,7.30901,1.11242,1.4,4.8,6.2,3.3714,1.4286,0.4571,18.0,
566,Eric Maynor,VCU,CAA,34,88.0,117.3,32.6,52.4,58.33,1.6,10.0,40.8,15.4,198,243,0.8150000000000001,182,353,0.516,66,183,0.361,0.5,2.9,45.3,Sr,6-2,,6.51466,137.585,2.7,2009,295,all,24.4,2.07920961,,,,,,,,,,20.0,96.5092,95.9311,3.70657,211.625,8.618500000000001,8.21306,0.405443,9.49683,35.4706,8.40732,1.08951,0.4706,3.1176,3.5882,6.1765,1.7059000000000002,0.17650000000000002,22.352899999999998,
573,DeVon Hardin,California,P10,30,53.5,109.2,19.9,55.4,58.41,9.4,26.4,5.3,17.6,84,132,0.636,98,177,0.554,0,0,0.0,5.9,1.4,74.6,Sr,6-11,,2.43826,114.65,4.1,2008,300,all,81.4,0.46515035,,,,,,,,,,50.0,100.233,94.6153,2.62168,169.128,4.2474,1.28712,2.96028,4.21822,23.8,2.68202,1.53621,1.8,5.5667,7.3667,0.6667000000000001,0.5667,1.2333,9.3333,
613,Anthony Randolph,LSU,SEC,30,81.7,96.6,27.7,46.1,50.55,9.8,18.3,8.4,19.0,112,162,0.6910000000000001,172,361,0.47600000000000003,2,19,0.105,6.7,2.0,42.6,Fr,6-10,,2.8064400000000003,109.517,3.4,2008,322,all,97.2,0.41304715000000003,,,,,,,,,,14.0,95.7412,92.012,3.93813,220.652,2.51214,-0.851644,3.36378,2.36031,32.7742,0.995259,1.36505,2.7742,5.7097,8.4839,1.2258,1.129,2.2580999999999998,15.5806,
634,Jeremy Evans,Western Kentucky,SB,34,65.3,129.2,17.3,65.6,66.82,13.5,17.8,5.9,14.0,64,93,0.6880000000000001,134,199,0.673,3,12,0.25,7.2,1.9,44.1,Sr,6-9,40,3.49748,123.099,4.4,2010,331,all,,0.69446545,113.0,139.0,21.0,60.0,0.8129000000000001,0.35000000000000003,61.0,64.0,0.9531000000000001,55.0,95.1372,95.7192,2.78986,192.491,8.08383,3.91722,4.16661,6.18888,26.5,4.051,2.13788,2.9706,3.9412000000000003,6.9118,0.7353000000000001,0.8235,1.7941,10.0294,C
